日期,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
1月1日,167.1,308.766,2.1,"2,416,420","462,420","1,954,000","2,206,080","2,668,500"
1月2日,167.27,310.273,0,"1,718,880","740,880","978,000","1,889,280","2,630,160"
1月3日,167.35,310.918,0,"1,391,012","1,302,012","89,000","1,715,400","3,017,412"
1月4日,167.34,310.844,0.1,"1,002,260","1,180,260","-178,000","1,586,160","2,766,420"
1月5日,167.31,310.625,0.2,"1,018,292","1,463,292","-445,000","1,481,040","2,944,332"
1月6日,167.25,310.047,2.1,"840,284","1,462,284","-622,000","1,412,640","2,874,924"
1月7日,167.18,309.41,0.1,"752,148","1,463,148","-711,000","1,360,440","2,823,588"
1月8日,167.1,308.703,0,"768,676","1,745,676","-977,000","1,300,320","3,045,996"
1月9日,166.98,307.652,0,"612,960","1,587,960","-975,000","1,245,960","2,833,920"
1月10日,166.88,306.71,0,"685,052","1,748,052","-1,063,000","1,207,080","2,955,132"
1月11日,166.75,305.588,0.3,"600,796","1,751,796","-1,151,000","1,149,120","2,900,916"
1月12日,166.62,304.497,6.3,"672,144","1,467,144","-795,000","1,162,440","2,629,584"
1月13日,166.52,303.573,7.5,"781,012","1,752,012","-971,000","1,150,560","2,902,572"
1月14日,166.41,302.639,1,"730,816","1,875,816","-1,145,000","1,097,280","2,973,096"
1月15日,166.28,301.409,6.1,"557,040","1,877,040","-1,320,000","1,076,040","2,953,080"
1月16日,166.14,300.228,0.4,"740,800","1,882,800","-1,142,000","1,053,000","2,935,800"
1月17日,166.01,299.075,8.1,"741,988","1,883,988","-1,142,000","1,054,440","2,938,428"
1月18日,165.89,298.058,2.5,"812,280","1,601,280","-789,000","1,173,240","2,774,520"
1月19日,165.81,297.357,1.1,"974,380","1,762,380","-788,000","1,100,520","2,862,900"
1月20日,165.71,296.456,0.1,"802,000","1,764,000","-962,000","1,054,080","2,818,080"
1月21日,165.6,295.461,0,"762,056","1,897,056","-1,135,000","1,007,280","2,904,336"
1月22日,165.45,294.155,0,"828,616","2,048,616","-1,220,000","959,040","3,007,656"
1月23日,165.31,292.924,0.1,"512,680","1,903,680","-1,391,000","922,680","2,826,360"
1月24日,165.14,291.45,3.5,"789,180","2,178,180","-1,389,000","915,840","3,094,020"
1月25日,165,290.264,3.8,"549,912","1,329,912","-780,000","952,200","2,282,112"
1月26日,164.96,289.928,27.8,"1,352,260","919,260","433,000","1,292,400","2,211,660"
1月27日,165.04,290.672,6.4,"1,475,256","347,256","1,128,000","1,471,320","1,818,576"
1月28日,165.15,291.627,8.5,"1,363,028","755,028","608,000","1,400,400","2,155,428"
1月29日,165.22,292.235,0.4,"1,455,164","934,164","521,000","1,374,480","2,308,644"
1月30日,165.26,292.55,0,"1,262,640","1,610,640","-348,000","1,298,160","2,908,800"
1月31日,165.21,292.123,0,"1,052,296","1,486,296","-434,000","1,191,600","2,677,896"
2月1日,165.15,291.594,0,"918,260","1,612,260","-694,000","1,130,040","2,742,300"
2月2日,165.07,290.831,0.1,"822,492","1,776,492","-954,000","1,075,680","2,852,172"
2月3日,164.94,289.747,7.3,"918,432","1,611,432","-693,000","1,027,440","2,638,872"
2月4日,164.88,289.267,19.1,"1,094,880","1,613,880","-519,000","1,089,000","2,702,880"
2月5日,164.88,289.249,14.3,"1,780,120","915,120","865,000","1,391,040","2,306,160"
2月6日,164.99,290.253,8.3,"1,969,028","755,028","1,214,000","1,461,600","2,216,628"
2月7日,165.13,291.471,4.5,"2,105,044","1,324,044","781,000","1,396,080","2,720,124"
2月8日,165.2,292.029,1.2,"1,634,312","1,200,312","434,000","1,390,680","2,590,992"
2月9日,165.23,292.308,1,"1,410,180","1,323,180","87,000","1,359,000","2,682,180"
2月10日,165.22,292.232,0.3,"1,138,180","1,485,180","-347,000","1,337,760","2,822,940"
2月11日,165.18,291.837,0,"1,051,756","1,485,756","-434,000","1,270,080","2,755,836"
2月12日,165.12,291.312,0,"913,984","1,608,984","-695,000","1,188,720","2,797,704"
2月13日,165.04,290.582,1.9,"907,108","1,773,108","-866,000","1,157,040","2,930,148"
2月14日,164.93,289.697,2.6,"833,476","1,612,476","-779,000","1,112,400","2,724,876"
2月15日,164.84,288.875,0.2,"660,936","1,611,936","-951,000","1,074,240","2,686,176"
2月16日,164.74,287.967,7.8,"867,392","1,903,392","-1,036,000","1,058,760","2,962,152"
2月17日,164.61,286.859,0,"670,020","1,618,020","-948,000","1,074,960","2,692,980"
2月18日,164.5,285.897,0.1,"704,432","1,908,432","-1,204,000","1,000,080","2,908,512"
2月19日,164.35,284.617,0.1,"710,752","1,912,752","-1,202,000","952,920","2,865,672"
2月20日,164.18,283.201,1.4,"503,992","1,789,992","-1,286,000","927,360","2,717,352"
2月21日,164.06,282.116,0.1,"552,492","1,920,492","-1,368,000","915,120","2,835,612"
2月22日,163.87,280.544,13.3,"746,332","2,197,332","-1,451,000","882,720","3,080,052"
2月23日,163.74,279.41,3.1,"777,216","1,629,216","-852,000","1,006,560","2,635,776"
2月24日,163.64,278.618,4.6,"997,740","1,933,740","-936,000","953,280","2,887,020"
2月25日,163.51,277.445,0,"895,776","1,915,776","-1,020,000","915,120","2,830,896"
2月26日,163.4,276.514,0.8,"799,440","2,071,440","-1,272,000","885,600","2,957,040"
2月27日,163.26,275.365,4.8,"836,592","1,937,592","-1,101,000","869,400","2,806,992"
2月28日,163.11,274.103,2.6,"888,224","2,071,224","-1,183,000","892,440","2,963,664"
2月29日,162.99,273.071,0.2,"845,128","1,942,128","-1,097,000","851,760","2,793,888"
3月1日,162.85,271.848,2.7,"895,212","2,074,212","-1,179,000","834,480","2,908,692"
3月2日,162.71,270.728,3.1,"768,080","1,945,080","-1,177,000","848,880","2,793,960"
3月3日,162.56,269.408,0.2,"738,584","2,080,584","-1,342,000","818,280","2,898,864"
3月4日,162.41,268.199,6.5,"698,296","1,954,296","-1,256,000","827,280","2,781,576"
3月5日,162.29,267.267,18.7,"1,426,376","1,091,376","335,000","1,221,480","2,312,856"
3月6日,162.34,267.584,0.2,"1,282,236","1,951,236","-669,000","1,099,080","3,050,316"
3月7日,162.23,266.654,0,"1,175,984","2,094,984","-919,000","992,160","3,087,144"
3月8日,162.13,265.867,7.9,"1,012,932","1,930,932","-918,000","930,960","2,861,892"
3月9日,162.02,264.963,0.3,"1,280,632","1,780,632","-500,000","926,640","2,707,272"
3月10日,162.17,266.261,43,"3,759,000",0,"3,759,000","1,712,880","1,712,880"
3月11日,162.52,269.209,0.2,"2,359,540","765,540","1,594,000","1,470,960","2,236,500"
3月12日,162.65,270.248,0.3,"1,687,452","1,519,452","168,000","1,292,760","2,812,212"
3月13日,162.67,270.423,15.3,"1,692,712","935,712","757,000","1,282,680","2,218,392"
3月14日,162.82,271.676,14.2,"2,291,016","353,016","1,938,000","1,457,640","1,810,656"
3月15日,163.01,273.3,0,"1,981,092","1,222,092","759,000","1,387,080","2,609,172"
3月16日,163.07,273.799,0,"1,477,604","1,223,604","254,000","1,282,320","2,505,924"
3月17日,163.08,273.874,0,"1,217,368","1,639,368","-422,000","1,157,040","2,796,408"
3月18日,163.03,273.412,0.9,"1,093,876","1,347,876","-254,000","1,110,960","2,458,836"
3月19日,162.97,272.916,6.7,"1,051,024","1,641,024","-590,000","1,101,600","2,742,624"
3月20日,162.91,272.378,0.1,"881,232","1,640,232","-759,000","1,113,480","2,753,712"
3月21日,162.81,271.539,0.1,"832,144","1,926,144","-1,094,000","995,400","2,921,544"
3月22日,162.67,270.374,0.4,"684,900","1,944,900","-1,260,000","958,320","2,903,220"
3月23日,162.51,269.048,1.7,"710,080","1,801,080","-1,091,000","932,400","2,733,480"
3月24日,162.39,268.042,2,"694,724","1,949,724","-1,255,000","906,480","2,856,204"
3月25日,162.21,266.504,2,"689,132","2,109,132","-1,420,000","874,080","2,983,212"
3月26日,162.08,265.418,0.1,"780,564","1,947,564","-1,167,000","832,320","2,779,884"
3月27日,161.91,264.015,15.7,"949,604","2,114,604","-1,165,000","947,880","3,062,484"
3月28日,161.84,263.509,24.7,"1,612,424","863,424","749,000","1,233,720","2,097,144"
3月29日,161.94,264.268,1,"1,333,988","1,001,988","332,000","1,236,600","2,238,588"
3月30日,161.96,264.473,1.3,"1,190,680","1,273,680","-83,000","1,065,240","2,338,920"
3月31日,161.92,264.123,3,"1,063,920","1,978,920","-915,000","1,046,160","3,025,080"
4月1日,161.83,263.37,4.4,"1,052,384","1,551,384","-499,000","1,020,240","2,571,624"
4月2日,161.77,262.895,8.7,"1,027,848","1,276,848","-249,000","1,104,480","2,381,328"
4月3日,161.75,262.712,11.2,"1,194,136","1,277,136","-83,000","1,133,280","2,410,416"
4月4日,161.75,262.698,3.2,"1,360,028","1,277,028","83,000","1,180,800","2,457,828"
4月5日,161.76,262.767,2.5,"1,322,752","1,156,752","166,000","1,186,560","2,343,312"
4月6日,161.75,262.715,9,"1,268,060","1,434,060","-166,000","1,205,280","2,639,340"
4月7日,161.76,262.778,4.4,"1,324,660","1,158,660","166,000","1,396,800","2,555,460"
4月8日,161.78,262.965,0.2,"1,219,184","887,184","332,000","1,340,640","2,227,824"
4月9日,161.81,263.197,0.6,"1,218,592","1,550,592","-332,000","1,289,520","2,840,112"
4月10日,161.76,262.767,0,"1,045,496","1,709,496","-664,000","1,214,640","2,924,136"
4月11日,161.68,262.093,16.5,"1,102,240","1,434,240","-332,000","1,159,920","2,594,160"
4月12日,161.71,262.418,11.1,"1,749,176","337,176","1,412,000","1,522,800","1,859,976"
4月13日,161.85,263.557,0,"1,558,212","976,212","582,000","1,468,800","2,445,012"
4月14日,161.89,263.908,0,"1,222,112","1,139,112","83,000","1,334,160","2,473,272"
4月15日,161.86,263.582,0.1,"1,129,480","1,545,480","-416,000","1,244,880","2,790,360"
4月16日,161.81,263.207,0.4,"961,264","1,626,264","-665,000","1,157,760","2,784,024"
4月17日,161.71,262.387,0,"798,680","1,462,680","-664,000","1,090,800","2,553,480"
4月18日,161.59,261.332,0,"868,968","2,029,968","-1,161,000","1,044,720","3,074,688"
4月19日,161.46,260.306,0,"872,024","1,866,024","-994,000","992,880","2,858,904"
4月20日,161.33,259.251,0.8,"790,440","1,864,440","-1,074,000","948,600","2,813,040"
4月21日,161.18,257.975,1.5,"785,532","2,105,532","-1,320,000","916,200","3,021,732"
4月22日,161.04,256.8,12.1,"788,660","1,941,660","-1,153,000","930,960","2,872,620"
4月23日,160.95,256.135,31.2,"1,918,192","1,671,192","247,000","1,355,040","3,026,232"
4月24日,161.19,258.155,20.2,"3,548,000",0,"3,548,000","2,704,320","2,704,320"
4月25日,161.58,261.339,0.1,"2,405,000",0,"2,405,000","2,553,120","2,553,120"
4月26日,161.8,263.155,0.3,"1,652,016","488,016","1,164,000","1,858,320","2,346,336"
4月27日,161.91,264.026,2.4,"1,395,304","1,145,304","250,000","1,611,360","2,756,664"
4月28日,161.88,263.748,2.7,"1,210,056","1,627,056","-417,000","1,484,640","3,111,696"
4月29日,161.86,263.627,0,"985,028","1,151,028","-166,000","1,418,040","2,569,068"
4月30日,161.78,262.982,0,"938,272","1,852,272","-914,000","1,345,680","3,197,952"
5月1日,161.71,262.335,1.7,"835,716","1,831,716","-996,000","1,265,760","3,097,476"
5月2日,161.53,260.831,0.1,"805,312","2,379,312","-1,574,000","1,200,960","3,580,272"
5月3日,161.34,259.248,0.3,"1,254,388","2,906,388","-1,652,000","1,150,560","4,056,948"
5月4日,161.12,257.463,0,"848,180","2,907,180","-2,059,000","1,090,800","3,997,980"
5月5日,160.94,255.937,0,"595,324","1,827,324","-1,232,000","1,035,360","2,862,684"
5月6日,160.79,254.722,1.6,"602,796","1,832,796","-1,230,000","1,015,560","2,848,356"
5月7日,160.65,253.585,10.6,"770,120","1,833,120","-1,063,000","1,053,360","2,886,480"
5月8日,160.51,252.423,0.7,"603,764","1,828,764","-1,225,000","969,840","2,798,604"
5月9日,160.34,251.076,0.2,"566,668","2,113,668","-1,547,000","918,000","3,031,668"
5月10日,160.16,249.597,29.4,"976,892","2,114,892","-1,138,000","1,164,600","3,279,492"
5月11日,160.07,248.852,0.7,"1,107,872","1,837,872","-730,000","1,696,320","3,534,192"
5月12日,159.95,247.871,11,"871,064","1,844,064","-973,000","1,343,520","3,187,584"
5月13日,159.83,246.905,0,"714,152","1,846,152","-1,132,000","1,337,760","3,183,912"
5月14日,159.68,245.739,0.3,"717,852","1,848,852","-1,131,000","1,175,040","3,023,892"
5月15日,159.53,244.511,0.4,"561,544","1,850,544","-1,289,000","1,355,400","3,205,944"
